model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
v054,overall,0.001,0.9983936852318344,110840,74,1097,391597,0.9901998445554195,0.00018893407987826517,0.8399033480419271,0.9088800763112755
v054,overall,0.01,0.9983936852318344,110840,74,1097,391597,0.9901998445554195,0.00018893407987826517,0.981460606753635,0.9858108576448619
v054,overall,0.1,0.9983936852318344,110840,74,1097,391597,0.9901998445554195,0.00018893407987826517,0.9982857079462175,0.9942263363056824
v054,short_1_2kb,0.001,0.9983936852318344,10282,47,428,37261,0.9600373482726424,0.0012597834244666023,0.4327297527074783,0.5965630923010916
v054,short_1_2kb,0.01,0.9983936852318344,10282,47,428,37261,0.9600373482726424,0.0012597834244666023,0.8850261536411295,0.9210069580936022
v054,short_1_2kb,0.1,0.9983936852318344,10282,47,428,37261,0.9600373482726424,0.0012597834244666023,0.9883278382067449,0.973977202631643
v054,1000,0.001,0.9983936852318344,5074,33,282,18620,0.9473487677371173,0.0017691524151611001,0.3489658489676225,0.5100495863298791
v054,1000,0.01,0.9983936852318344,5074,33,282,18620,0.9473487677371173,0.0017691524151611001,0.8439671344291817,0.8926747357573404
v054,1000,0.1,0.9983936852318344,5074,33,282,18620,0.9473487677371173,0.0017691524151611001,0.983470519271291,0.9650717607870913
v054,1500,0.001,0.9983936852318344,5208,14,146,18641,0.9727306686589465,0.00075046904315197,0.564736913289757,0.7145996725140225
v054,1500,0.01,0.9983936852318344,5208,14,146,18641,0.9727306686589465,0.00075046904315197,0.9290405807136184,0.9503837704844956
v054,1500,0.1,0.9983936852318344,5208,14,146,18641,0.9727306686589465,0.00075046904315197,0.9931043128311643,0.982811915917879
v054,2000,0.001,0.9983936852318344,5214,9,115,18636,0.9784199662225558,0.0004827031375703942,0.6698568420971688,0.7952563616869482
v054,2000,0.01,0.9983936852318344,5214,9,115,18636,0.9784199662225558,0.0004827031375703942,0.953432802779992,0.9657647887661011
v054,2000,0.1,0.9983936852318344,5214,9,115,18636,0.9784199662225558,0.0004827031375703942,0.9955794809980174,0.9869251417891659
v054,2500,0.001,0.9983936852318344,5229,5,68,18643,0.9871625448367001,0.0002681252681252681,0.7865713618012298,0.8755245466138244
v054,2500,0.01,0.9983936852318344,5229,5,68,18643,0.9871625448367001,0.0002681252681252681,0.973814521406641,0.9804431043064754
v054,2500,0.1,0.9983936852318344,5229,5,68,18643,0.9871625448367001,0.0002681252681252681,0.997561452367113,0.9923347562049841
v054,3000,0.001,0.9983936852318344,5245,1,61,18645,0.9885035808518658,5.363080553469913e-05,0.9485863504894191,0.9681336824219848
v054,3000,0.01,0.9983936852318344,5245,1,61,18645,0.9885035808518658,5.363080553469913e-05,0.9946574963454334,0.9915709905401642
v054,3000,0.1,0.9983936852318344,5245,1,61,18645,0.9885035808518658,5.363080553469913e-05,0.9995119474655403,0.9939772854894536
v054,3500,0.001,0.9983936852318344,5217,3,50,18650,0.990506929941143,0.0001608320377419182,0.8604288939051918,0.9208971712089353
v054,3500,0.01,0.9983936852318344,5217,3,50,18650,0.990506929941143,0.0001608320377419182,0.9841793440334962,0.9873329990874552
v054,3500,0.1,0.9983936852318344,5217,3,50,18650,0.990506929941143,0.0001608320377419182,0.9985407713167043,0.9945076261293284
v054,4000,0.001,0.9983936852318344,5243,1,46,18649,0.9913027037247116,5.361930294906166e-05,0.9487345159509528,0.9695515954445092
v054,4000,0.01,0.9983936852318344,5243,1,46,18649,0.9913027037247116,5.361930294906166e-05,0.9946736380457664,0.9929853100258325
v054,4000,0.1,0.9983936852318344,5243,1,46,18649,0.9913027037247116,5.361930294906166e-05,0.9995134292295791,0.995391134724333
v054,4500,0.001,0.9983936852318344,5251,1,35,18638,0.9933787362845251,5.365094693921348e-05,0.9488075234389851,0.9705816977051902
v054,4500,0.01,0.9983936852318344,5251,1,35,18638,0.9933787362845251,5.365094693921348e-05,0.9946815900935218,0.994029736283455
v054,4500,0.1,0.9983936852318344,5251,1,35,18638,0.9933787362845251,5.365094693921348e-05,0.9995141591897947,0.9964370033223818
v054,5000,0.001,0.9983936852318344,5270,0,25,18650,0.9952785646836638,0.0,1.0,0.9976336961665879
v054,5000,0.01,0.9983936852318344,5270,0,25,18650,0.9952785646836638,0.0,1.0,0.9976336961665879
v054,5000,0.1,0.9983936852318344,5270,0,25,18650,0.9952785646836638,0.0,1.0,0.9976336961665878
v054,5500,0.001,0.9983936852318344,5261,2,30,18650,0.9943299943299944,0.0001072271070126528,0.9027464777006058,0.9463275869872123
v054,5500,0.01,0.9983936852318344,5261,2,30,18650,0.9943299943299944,0.0001072271070126528,0.9894367566923339,0.9918773405842842
v054,5500,0.1,0.9983936852318344,5261,2,30,18650,0.9943299943299944,0.0001072271070126528,0.9990303940781531,0.996674652366802
v054,6000,0.001,0.9983936852318344,5287,2,28,18650,0.9947318908748825,0.0001072271070126528,0.9027819505796507,0.946529060425121
v054,6000,0.01,0.9983936852318344,5287,2,28,18650,0.9947318908748825,0.0001072271070126528,0.9894409794426946,0.9920793808984963
v054,6000,0.1,0.9983936852318344,5287,2,28,18650,0.9947318908748825,0.0001072271070126528,0.9990307854434936,0.9968767035818805
v054,6500,0.001,0.9983936852318344,5298,0,25,18649,0.9953034003381552,0.0,1.0,0.9976461726767725
v054,6500,0.01,0.9983936852318344,5298,0,25,18649,0.9953034003381552,0.0,1.0,0.9976461726767725
v054,6500,0.1,0.9983936852318344,5298,0,25,18649,0.9953034003381552,0.0,1.0,0.9976461726767725
v054,7000,0.001,0.9983936852318344,5256,1,23,18659,0.9956431142261792,5.359056806002143e-05,0.9489725568426589,0.9717477914704702
v054,7000,0.01,0.9983936852318344,5256,1,23,18659,0.9956431142261792,5.359056806002143e-05,0.9946995616543239,0.9951711142874436
v054,7000,0.1,0.9983936852318344,5256,1,23,18659,0.9956431142261792,5.359056806002143e-05,0.9995158088546536,0.9975757030018078
