model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
v054,overall,0.001,0.9983936852318344,53852,80,575,538354,0.9894353905230859,0.0001485790273273976,0.8695536475077016,0.9256290760207352
v054,overall,0.01,0.9983936852318344,53852,80,575,538354,0.9894353905230859,0.0001485790273273976,0.9853513905944187,0.9873891675571662
v054,overall,0.1,0.9983936852318344,53852,80,575,538354,0.9894353905230859,0.0001485790273273976,0.998650334856294,0.9940215066691773
v054,short_1_2kb,0.001,0.9983936852318344,5881,53,198,59768,0.9674288534298404,0.000885976496548035,0.52222333934992,0.678297832031305
v054,short_1_2kb,0.01,0.9983936852318344,5881,53,198,59768,0.9674288534298404,0.000885976496548035,0.916872045999522,0.9414722165359142
v054,short_1_2kb,0.1,0.9983936852318344,5881,53,198,59768,0.9674288534298404,0.000885976496548035,0.9918251313596914,0.979475103364183
v054,1000,0.001,0.9983936852318344,2921,46,120,29862,0.960539296284117,0.001538050020061522,0.3846694335985962,0.5493424162999905
v054,1000,0.01,0.9983936852318344,2921,46,120,29862,0.960539296284117,0.001538050020061522,0.8631684965619301,0.9092545017514292
v054,1000,0.1,0.9983936852318344,2921,46,120,29862,0.960539296284117,0.001538050020061522,0.9857936068375891,0.9730026100616654
v054,1500,0.001,0.9983936852318344,2960,7,78,29906,0.9743252139565504,0.00023401196804065123,0.8064917286269784,0.8824997193801258
v054,1500,0.01,0.9983936852318344,2960,7,78,29906,0.9743252139565504,0.00023401196804065123,0.9767745750603539,0.9755483570756025
v054,1500,0.1,0.9983936852318344,2960,7,78,29906,0.9743252139565504,0.00023401196804065123,0.9978430559675553,0.9859439114067688
v054,2000,0.001,0.9983936852318344,2980,4,48,29910,0.9841479524438573,0.00013371665440930667,0.8804873883988805,0.9294362725676562
v054,2000,0.01,0.9983936852318344,2980,4,48,29910,0.9841479524438573,0.00013371665440930667,0.9867273552090611,0.9854359659168795
v054,2000,0.1,0.9983936852318344,2980,4,48,29910,0.9841479524438573,0.00013371665440930667,0.998778659180031,0.9914093306475721
v054,2500,0.001,0.9983936852318344,3002,3,33,29905,0.9891268533772652,0.00010030761000401231,0.9080105017701762,0.9468345220366446
v054,2500,0.01,0.9983936852318344,3002,3,33,29905,0.9891268533772652,0.00010030761000401231,0.9900601764051692,0.9895932948281659
v054,2500,0.1,0.9983936852318344,3002,3,33,29905,0.9891268533772652,0.00010030761000401231,0.9990881399201638,0.9940825428006839
v054,3000,0.001,0.9983936852318344,2989,3,33,29917,0.9890800794176042,0.00010026737967914439,0.9080400545797472,0.9468291577357283
