model,scope,prevalence,threshold,tp,fp,fn,tn,recall,fpr,precision,f1
v054,overall,0.001,0.9983936852318344,211722,142,5453,447174,0.9748912167606769,0.0003174489622548713,0.7545464906182143,0.8506819797009685
v054,overall,0.01,0.9983936852318344,211722,142,5453,447174,0.9748912167606769,0.0003174489622548713,0.9687698853387404,0.9718209118440013
v054,overall,0.1,0.9983936852318344,211722,142,5453,447174,0.9748912167606769,0.0003174489622548713,0.9970779383766636,0.9858597656225041
v054,short_1_2kb,0.001,0.9983936852318344,23320,89,1282,51536,0.947890415413381,0.0017239709443099274,0.35499686997260943,0.5165421972002691
v054,short_1_2kb,0.01,0.9983936852318344,23320,89,1282,51536,0.947890415413381,0.0017239709443099274,0.8474175873330237,0.8948425647932334
v054,short_1_2kb,0.1,0.9983936852318344,23320,89,1282,51536,0.947890415413381,0.0017239709443099274,0.983894914480478,0.9655571401002985
v054,1000,0.001,0.9983936852318344,11543,69,773,25786,0.9372361156219552,0.002668729452717076,0.2601051641117723,0.40720211988271554
v054,1000,0.01,0.9983936852318344,11543,69,773,25786,0.9372361156219552,0.002668729452717076,0.7800937683670752,0.851475374768382
v054,1000,0.1,0.9983936852318344,11543,69,773,25786,0.9372361156219552,0.002668729452717076,0.9750133179512294,0.9557515654103201
v054,1500,0.001,0.9983936852318344,11777,20,509,25750,0.9585707309132345,0.0007760962359332557,0.5528437499504752,0.701250178796755
v054,1500,0.01,0.9983936852318344,11777,20,509,25750,0.9585707309132345,0.0007760962359332557,0.9257936919385259,0.9418971460025148
v054,1500,0.1,0.9983936852318344,11777,20,509,25750,0.9585707309132345,0.0007760962359332557,0.9927659617479964,0.9753687276599267
v054,2000,0.001,0.9983936852318344,11884,9,399,25660,0.9675160791337621,0.00035061747633332034,0.7341998831833063,0.8348634061242053
v054,2000,0.01,0.9983936852318344,11884,9,399,25660,0.9675160791337621,0.00035061747633332034,0.9653660069940004,0.9664398472304055
v054,2000,0.1,0.9983936852318344,11884,9,399,25660,0.9675160791337621,0.00035061747633332034,0.9967490991097303,0.9819150600766916
v054,2500,0.001,0.9983936852318344,11872,9,374,25569,0.9694594153192879,0.0003518648838845883,0.7338982935085583,0.8353907189796714
v054,2500,0.01,0.9983936852318344,11872,9,374,25569,0.9694594153192879,0.0003518648838845883,0.9653143181598793,0.9673824264708938
v054,2500,0.1,0.9983936852318344,11872,9,374,25569,0.9694594153192879,0.0003518648838845883,0.9967440893970118,0.9829124399503187
v054,3000,0.001,0.9983936852318344,11886,3,310,25453,0.9745818301082322,0.00011785040854808297,0.8922173328427951,0.9315825915859682
v054,3000,0.01,0.9983936852318344,11886,3,310,25453,0.9745818301082322,0.00011785040854808297,0.9881701373556745,0.9813289471993423
v054,3000,0.1,0.9983936852318344,11886,3,310,25453,0.9745818301082322,0.00011785040854808297,0.9989128664499952,0.9865973607137819
v054,3500,0.001,0.9983936852318344,11833,10,289,25311,0.976159049661772,0.0003949291102247147,0.7121644929324892,0.8235220289064036
v054,3500,0.01,0.9983936852318344,11833,10,289,25311,0.976159049661772,0.0003949291102247147,0.961489572890098,0.9687687817164858
v054,3500,0.1,0.9983936852318344,11833,10,289,25311,0.976159049661772,0.0003949291102247147,0.9963720390578072,0.9861619807346937
v054,4000,0.001,0.9983936852318344,11808,5,274,25168,0.9773216354908127,0.000198625511460692,0.8312335654003628,0.8983773867799401
v054,4000,0.01,0.9983936852318344,11808,5,274,25168,0.9773216354908127,0.000198625511460692,0.9802766194402942,0.9787968971994304
v054,4000,0.1,0.9983936852318344,11808,5,274,25168,0.9773216354908127,0.000198625511460692,0.9981742286924691,0.9876378760163238
v054,4500,0.001,0.9983936852318344,11799,6,259,25012,0.9785204843257588,0.00023982732432648493,0.8033117747566412,0.8823019371130406
v054,4500,0.01,0.9983936852318344,11799,6,259,25012,0.9785204843257588,0.00023982732432648493,0.9763107129736344,0.9774143496698778
v054,4500,0.1,0.9983936852318344,11799,6,259,25012,0.9785204843257588,0.00023982732432648493,0.997799028966188,0.9880657277501008
v054,5000,0.001,0.9983936852318344,11807,3,228,24882,0.9810552555047777,0.00012055455093429777,0.8906625768913142,0.9336762056939586
v054,5000,0.01,0.9983936852318344,11807,3,228,24882,0.9810552555047777,0.00012055455093429777,0.9879808470710284,0.9845058717706053
v054,5000,0.1,0.9983936852318344,11807,3,228,24882,0.9810552555047777,0.00012055455093429777,0.9988952789967462,0.9898948949301791
v054,5500,0.001,0.9983936852318344,11776,1,235,24723,0.980434601615186,4.044652968775279e-05,0.9604188158242929,0.9703234985346666
v054,5500,0.01,0.9983936852318344,11776,1,235,24723,0.980434601615186,4.044652968775279e-05,0.9959324983875821,0.9881227857829434
v054,5500,0.1,0.9983936852318344,11776,1,235,24723,0.980434601615186,4.044652968775279e-05,0.9996288547316187,0.9899386959648848
v054,6000,0.001,0.9983936852318344,11765,1,238,24573,0.9801716237607265,4.06934158053227e-05,0.9601765744098603,0.9700710758240766
